:End-User Support

mozilla.dev.ports.beos                  For discussions about <a href="../ports/beos/">porting Mozilla to BeOS</a>.
mozilla.dev.platforms.linux             For coordinating more involvement from the Linux distros and community.
mozilla.dev.platforms.mobile            For discussions about the <a href="http://wiki.mozilla.org/Mobile">Mozilla platform on mobile devices</a>.

:Localization

mozilla.dev.l10n.cs                     For discussion of the Czech localization of Mozilla products.
mozilla.dev.l10n.de                     For discussions of the German localization of Mozilla projects.
mozilla.dev.l10n.fa                     For discussions of the Persian localization of Mozilla projects.
mozilla.dev.l10n.in                     For discussions of the Indian localization of Mozilla projects.
mozilla.dev.l10n.sk                     For discussion of the Slovak localization of Mozilla projects.
mozilla.dev.l10n.web                    For Mozilla website localization co-ordination.

:Testing

mozilla.test                            For test messages.
mozilla.test.multimedia                 For binary test messages.
